6547.2,6774,4992,6152.6,6467,6300.6,5397.8,5913.2,6518.7,6611,5690.2,6190,6345.3,5787.1,6533,6392.8,5723,5558.6,6411.2,6332.1,6959.6,5766.4,6138.3,5989.5,6285.9,6497.6,6223.6,5981.2,5906.7,7156.4,6511.9,5680.5,6103.9,6144.3,6480.8,6350.9,5050.7,6032.9,5479.8,7589.2,6358.8,6564.5,6285.9,6392.7,5537.4,5716.1,6114.8,5602.4,6346.5,5889,6358.8,6074,6208.9,6426.6,6170,6939.7,6431.7,6358.4,5035,5970.1,5515,6855.2,6966.6,6095.6,5823.6,5413.5,6008.2,5542.4,5785.5,5293.8,6435,5554.1,5568.9,5874.8,5661.3,5975.1,6137.7,4905.2,6468.5,5765.4,5793.4,5602.4,4939.1,5902.7,6090.2,6584.3,5950,5481.7,6370,5872.3,6133.4,5428.4,5770.3,6078.8,6896.6,6574.7,5436.1,6707.1,6368.8,5664,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36507.8,40074.3,46607.4,37173.7,35367.9,30852.4,29253.8,26837.7,48883.3,27810.4,35479.6,34561.9,38617.9,40707.4,31681.6,24370.7,30430.2,34720.2,21746.5,47424.4,38489.6,38803.9,39774.2,34761.9,39589.7,32128.7,37189.2,40596,29373.7,31632.3,45743.8,52736.4,43511.2,34542.4,41131.7,33602.8,39870.6,33441.8,47860.9,28127.2,38089.7,30737.6,45980.4,20359.1,38829.5,39242.9,32473.4,37804.9,27832.5,30306.2,31587.4,29218.6,28711.2,29304.9,40402.3,38224.4,37668.3,33360.5,23218.9,15451.3,33026.2,47290.3,27599.2,25815.6,39147,28378.9,35764.7,32374.1,28312.9,28499.9,35556,44155.6,32980.8,40985.4,35079.6,30696.5,35674.9,21854.5,41065,30327.3,34284.9,37936,39512.6,40661.8,29199,34837.7,17794.4,37685.9,29185.8,23142.6,32905.9,31194.7,38885.2,33799.6,44182.3,45566,36193.7,31579.6,24170.7,35301.4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24464.6,26302,29999.9,25576.4,22789.3,20624,20056.1,19131.8,32656.4,23918.6,25668.8,25249.7,30102,30413.6,24003.3,15906,20395.1,25340.3,21661.5,33011.6,23864.9,27750.8,27424.6,24981.6,29339.7,20459.4,24098.6,28635.7,22280.3,22116,31809.1,33705.9,26196.2,23250.7,25571.4,23926,26382.1,25189.4,32036.4,22692.5,25800.5,22538.9,31034.8,18420.4,25714.1,25253.7,24552.2,26738.1,16526.5,20570.2,25142,22601.3,17958.5,24653,26488.9,24431.4,26368.8,22313.7,17446.8,15129.5,23391.4,31615.7,21065.2,20065.4,24588.3,20030.8,26078.2,23381.8,22543.7,20461.3,22414.4,31115.8,24410.8,27684.8,23615.3,21706.6,23553.2,16263.3,25886.8,20970.2,22839.3,28362.5,29124.1,26613.9,20195.9,23784.3,16156.4,25923.2,21013.3,21431.7,24178.8,21796.6,25703,23198.9,29615.3,29424.4,25688.6,20096.3,18362.3,23300.3,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8529.9,7748.3,9747.9,6356.8,8536.3,7828.6,7634.7,8312.9,8209.3,7286.5,8148.4,8493.3,8843.6,8261.6,8283.3,8223.9,7925.7,6967.5,9085.6,8427.3,7755.8,7456.9,8109.8,7145.2,8567,8879.6,7552.1,7739.9,8906.1,8956.1,9435.4,7207.6,8057.9,8998,7327.8,8523.2,8986.9,9459.9,8702,9257.4,8251.1,7496.1,9273.1,8350.2,9348.3,8145,8021.2,7176.9,6721,8075.6,7777.5,7846,7363.2,8785.8,8430,7054.4,8398.5,8096.9,7276,7264.7,7630.2,8621,6626.9,8572.7,7639,8133.5,7200.6,7533.1,6859.6,8588.2,7207,8883.5,7398.2,8108.4,8502,7689.1,7408.4,8098.7,8079.3,8057.6,7648.9,6318.2,7584.8,7572.2,8887.5,7605.5,7249.3,7150.3,8549.9,7407.8,8309.1,7453.1,7618.8,6771.2,7507.2,8508.1,8180.8,8651.4,6857.8,7773.7,
42457.5,41563.1,49174.4,44360.6,38485.2,36029.6,32683,30893.1,50679.7,40857.1,42240,41615.7,50049.2,46983.8,36761.5,27547.5,32149.9,40490,28688.4,49632.4,36900.7,47108.9,45503.5,38731.9,46672.2,33503.5,41332.4,38983.3,30380.3,37238.4,54936.2,55093.9,43592.4,32750.3,41669,33837.6,43798.2,40530.6,49059.4,36023.9,45762.4,34557.9,49491.4,29078.5,41969.4,36212.6,39420.5,40501,29021.9,34628.6,42328.8,38108.5,24895.8,36482.9,42265.2,43721.5,42836.1,36582.5,29915.8,21353.9,39108.9,52144.7,31210.3,29480.1,41202,32327.5,38720.6,37928.4,32992.3,29989.7,34577.7,48938,40349.7,44662.5,37583.3,34014.7,40623.6,28260.9,44734.6,29664.9,40201.6,43419.1,48159.6,48717.7,35516.5,35887.8,25210.2,42210.4,34663.5,36042,39255.2,32167.4,46062.6,44289.6,47337.8,46377.1,39422.5,32309,26115.9,44944.3,
5172.3,4723.4,5244.2,5189.5,6599.3,5082.2,4862.2,5695.6,4856.9,4539,6097.4,5450.4,5637.5,5235.8,5723.4,4936.7,4780.8,4990.3,5341.4,4657.1,5039,6358.1,5377,5653.2,5084.6,5489.3,4859.4,4211.9,5169.5,4727.1,3659.9,4771.7,5485.3,5346.6,4232.1,5737.1,5019.2,5624,5465.9,5636.8,5135.5,4999.7,5331.3,5220.8,4928.6,4779.9,5867.7,5031,4742.3,5257.2,5002,5225.5,4819.7,3082.7,3969.9,5462.1,4594.2,5909.7,4279.7,5282.9,5948.1,5671.9,5209.1,4045.5,3708.8,4392.4,4829.9,5467.7,5552.6,6408.2,5341.9,5675.1,4939.2,5732.4,4471.3,4734.2,6328.2,5187.5,4510,5983.8,6178.5,4045.5,3618.4,5176,5678.2,5189.4,4832.5,4869.6,6393.1,5249.7,4880.6,5191.2,5286.6,4612.1,5362.2,4842.3,5732.2,5222,5395.7,4877.7,
